id orig_area y x
1196100 42714 -24.3311 30.7414
1259151 10774 -30.0633 28.5083
1495700 11174 -19.2167 32.0167
1531100 134200 8.15 -2.0333
1531450 92950 9.7 -1.08
1531550 63350 10.5833 -0.85
1599100 12869 -26.6867 31.6808
2151100 153191 29.28 91.88
2260100 27420 26 95.7
2260500 117900 21.98 96.1
2469120 19400 16.185 105.3167
2569005 635000 13.533 105.945
2901201 106000 65.45 172.97
2906300 67400 49.78 129.92
2907400 440200 52.03 107.48
2908305 127000 57.82 94.32
2909150 2440000 67.48 86.5
2909152 1760000 61.6 90.08
2910300 57000 56.5 84.92
2917920 20000 39 70.33
2969101 419000 15.3183 105.5
2999200 48000 65.62 72.67
2999500 95100 67 78.22
3618051 279945 -0.4817 -64.8272
3618052 194462 -0.2006 -66.8022
3618053 110862 0.3717 -67.3128
3618500 124980 1.8214 -61.1236
3618950 40506 0.4769 -69.1281
3618951 44732 0.1303 -68.5386
3620000 1134540 -3.1017 -67.9356
3621200 242259 -1.8211 -66.6
3622400 62105 -4.3408 -70.9056
3623100 990781 -3.45 -68.75
3624120 162000 -4.8392 -66.8506
3624121 142234 -6.4403 -68.2461
3624300 48317 -7.4281 -70.0225
3625320 230012 -6.5375 -64.3839
3625340 226351 -7.2581 -64.7975
3625350 153016 -7.7156 -66.9997
3625360 103285 -8.6533 -67.375
3625370 63166 -9.0439 -68.5772
3627030 1150000 -5.8167 -61.3019
3627402 60300 -8.9322 -62.0556
3627551 59400 -7.5928 -60.7094
3627650 131000 -7.2078 -60.65
3628201 50650 -1.065 -57.0614
3629150 363000 -6.0453 -57.6428
3629770 131000 -8.8578 -57.4019
3629771 81600 -9.6425 -56.0183
3629790 138000 -7.6147 -57.9503
3630150 60058 -5.6967 -54.2456
3630200 43030 -6.7453 -51.7736
3631100 51343 -0.5678 -52.5692
3649412 50930 -15.7381 -51.8281
3663655 28427 -23.3231 -52.6644
3664160 67317 -25.6831 -54.4331
3669600 42498 -29.3092 -56.0547
4102100 80549 61.8704 -158.1032
4103200 831390 61.9337 -162.8829
4103550 508417 65.8751 -149.7203
4103800 293965 64.7892 -141.2001
4115345 27736.3 47.3019 -115.0874
4115346 57169.1 48.0916 -116.1177
4119300 308210 40.3937 -91.3743
4123050 525770 37.1476 -88.7409
4123202 28813.8 38.5109 -87.2895
4123300 236130 38.2803 -85.7991
4123301 63765.8 40.1051 -80.7084
4125804 409297.7 34.7909 -92.359
4126800 174825 31.313 -92.4429
4127800 2964255 32.315 -90.9058
4147700 62419 40.2548 -76.8861
4149401 55615.1 31.6115 -87.553
4149410 39847.2 32.5196 -87.8783
4149413 47700 31.7585 -88.1292
4149630 44548 30.701 -84.8591
4149631 45584 30.4252 -85.0313
4149632 49728 29.9494 -85.0155
4203152 51000 63.2819 -139.2489
4203201 294000 64.7894 -141.1978
4203250 149961 63.0839 -139.4945
4207310 114000 52.53 -122.4422
4207900 217000 49.3806 -121.4514
4208005 1270000 61.8686 -121.3569
4208150 1570000 65.2739 -126.8442
4208270 104000 59.4125 -126.0972
4208271 275000 61.7472 -121.2236
4208280 222000 60.2431 -123.4792
4208730 133000 56.7806 -111.4
4214051 152000 64.7786 -97.0536
4214520 118000 51.3306 -83.8389
4362600 47697 17.4333 -91.4833
5101200 129900 -19.765 147.24
5101301 135757 -23.089 150.1071
5109151 106300 -18.165 140.857
5109200 45872 -15.9509 142.3772
5204103 21100 -35.0764 148.1069
5204301 19000 -33.4108 147.9914
5204302 8290 -33.9825 148.9358
5204401 13980 -32.6332 149.0811
5224500 19000 3.45 102.43
5608096 51028 -15.56 128.69
6116200 60883 37.82 -7.63
6123400 19920 47.0488 0.5444
6221100 20440 50.7259 5.6903
6233201 28920.5 60.5636 17.4419
6233410 22638.8 59.3033 18.0767
6233502 26567.8 63.8535 20.0488
6242401 95970 48.3833 15.4622
6335020 159300 51.7569 6.3954
6335050 147680 51.2255 6.7702
6337515 22110 52.852 9.211
6421100 29000 51.82 5.45
6421500 21301 50.87 5.72
6545800 87966 44.9813 19.6183
6731400 40540 59.6092 11.1181
6854700 50683 65.7927 24.5453
6854702 47425 66.4241 25.5402
6970100 55770 63.8333 38.4833
6973300 64500 55.8833 26.5333
